,Fighter_ID,Fighter_Name,matches
0,93fe7332d16c6ad9,Tom Aaron ,
1,15df64c02b6b0fde,Danny Abbadi The Assassin,
2,b361180739bed4b0,David Abbott Tank,
3,2f5cbecbbe18bac4,Shamil Abdurakhimov Abrek,
4,c0ed7b208197e8de,Hiroyuki Abe Abe Ani,
5,5140122c3eecd307,Daichi Abe ,
6,c9f6385af6df66d7,Papy Abedi Makambo,
7,aa6e591c2a2cdecd,Ricardo Abreu Demente,
8,7279654c7674cd24,Klidson Abreu White Bear,Klidson Abreu
9,1c5879330d42255f,Daniel Acacio ,
10,2620f3eb21c79614,Scott Adams ,
11,83b00f7597e5ac83,Juan Adams The Kraken,
12,a77633a989013265,Anthony Adams Sugafoot,
13,79cb2a690b9ba5e8,Zarrukh Adashev The Lion,
14,1338e2c7480bdf9e,Israel Adesanya The Last Stylebender,Israel Adesanya
15,0e9869d712e81f8f,Sam Adkins The Experience,
16,ebc5af72ad5a28cb,Nick Agallar ,Nick Agallar
17,a08ddd04eaffd81d,Mariya Agapova ,
18,44aa652b181bcf68,Marcelo Aguiar ,
19,501821d7fb7b95c1,Fabio Aguiar ,
20,6cadc0a0ba7dc015,Edwin Aguilar Tigre,
21,8f382b3baa954d2a,Jessica Aguilar Jag,
22,cf946e03ba2e7666,Kevin Aguilar Angel of Death,Kevin Aguilar
23,ae071698e1a3ccd4,Christian Aguilera The Beast,Christian Aguilera
24,9e3dbb9c68ed5d1a,Mike Aina Iron,
25,2eada40ac8801559,Hitomi Akano Girlfight Monster,Hitomi Akano
26,16690d100f995f8f,Omari Akhmedov Wolverine,Omari Akhmedov
27,b0550072e5f0afa7,Yoshihiro Akiyama ,
28,1fc64507a0cb38cf,Rostem Akman ,Rostem Akman
29,38b50fd1e1b5b656,Razak Al-Hassan ,
30,1cf1310684a841f5,Mostapha Al-Turk ,
31,7578cc6bd750206b,Herdem Alacabek ,Herdem Alacabek
32,2144954270be834d,Javi Alanis ,
33,1897b7b913736a7c,Heili Alateng The Mongolian Knight,Heili Alateng
34,6d35bf94f7d30241,Amir Albazi The Prince,
35,9b28292abe3166d5,Brett Albee ,
36,7bd94b60d7521e4a,John Albert Prince,
37,c482c8605455a213,Junior Albini Baby,Junior Albini
38,184b955181bdef52,Wes Albritton ,
39,e76d9f656ceb82ab,Aleksandra Albu Stitch,
40,dd1b90eea08887f6,Israel Albuquerque ,
41,39f62b833e4cf126,Juan Alcain ,
42,2f95a3c6d58b2aad,Iuri Alcantara Marajo,Iuri Alcantara
43,7c6e87729e824ef4,Ildemar Alcantara Marajo,
44,1e38bba6738b7b10,Alfonso Alcarez ,
45,d26934530dc5b248,Gilbert Aldana El Peligro,
46,578ef12674df1e6a,Irene Aldana ,
47,c487223b0289bda9,Hector Aldana ,
48,d0f3959b4a9747e6,Jose Aldo ,Jose Aldo
49,6fd953151d981979,JJ Aldrich ,J.J. Aldrich
50,fe5a9547479396ab,Jim Alers The Beast,
51,7a15f3694c5cbc02,John Alessio The Natural,
