Matchup,Open,Closing Range,Close Start Range,Close End Range,Movement,Event,Fight Date
Israel Adesanya vs Alex Pereira,130,+105 ... +160,105,160,+0.8%,Future Events,
Israel Adesanya vs Jon Jones,-150,-105 ... -105,-105,-105,-23%,Future Events,
Israel Adesanya vs Sean Strickland,300,+350 ... +540,350,540,-6.7%,UFC 293,Sep 10th 2023
Israel Adesanya vs Alex Pereira,170,+175 ... +460,175,460,-10.3%,UFC 281,Nov 12th 2022
Israel Adesanya vs Jared Cannonier,250,+355 ... +460,355,460,-12.9%,UFC 276: Adesanya vs. Cannonier,Jul 2nd 2022
Israel Adesanya vs Robert Whittaker,220,+210 ... +265,210,265,-4.2%,UFC 271,Feb 12th 2022
Israel Adesanya vs Robert Whittaker,235,+175 ... +220,175,220,+4.8%,UFC,Dec 31st 2021
Israel Adesanya vs Marvin Vettori,200,+180 ... +225,180,225,-1.5%,UFC 263: Adesanya vs. Vettori 2,Jun 12th 2021
Israel Adesanya vs Jan Blachowicz,210,+175 ... +225,175,225,-0.1%,UFC 259: Blachowicz vs. Adesanya,Mar 6th 2021
Israel Adesanya vs Paulo Costa,120,+162 ... +168,162,168,-12.5%,UFC 253: Adesanya vs. Costa,Sep 26th 2020
Israel Adesanya vs Robert Whittaker,-185,-111 ... +110,-111,110,-42.9%,UFC 243: Whittaker vs. Adesanya,Oct 5th 2019
Israel Adesanya vs Kelvin Gastelum,185,+150 ... +153,150,153,+7.6%,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
Israel Adesanya vs Anderson Silva,280,+400 ... +415,400,415,-5.3%,UFC 234: Adesanya vs. Silva,Feb 9th 2019
Israel Adesanya vs Derek Brunson,180,+225 ... +245,225,245,-2.1%,UFC 230: Cormier vs. Lewis,Nov 3rd 2018
Israel Adesanya vs Brad Tavares,-120,-109 ... -105,-109,-105,+2.7%,UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,Jul 6th 2018
Israel Adesanya vs Marvin Vettori,180,+202 ... +205,202,205,+2.1%,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
Israel Adesanya vs Yoel Romero,145,+225 ... +245,225,245,-14.1%,UFC 248: Adesanya vs. Romero,Mar 7th 2020
Israel Adesanya vs Rob Wilkinson,250,+285 ... +305,285,305,-2.2%,UFC 221: Romero vs. Rockhold,Feb 10th 2018
Jon Jones vs Stipe Miocic,170,+280 ... +325,280,325,-20.2%,UFC,Nov 12th 2023
