,Fighterss_ID,Fightss_ID,Fighter_0,Fighter_1,Head_0_Pct,Head_1_Pct,Body_0_Pct,Body_1_Pct,Leg_0_Pct,Leg_1_Pct,Distance_0_Pct,Distance_1_Pct,Clinch_0_Pct,Clinch_1_Pct,Ground_0_Pct,Ground_1_Pct
1,93fe7332d16c6ad9,9be14b958737f074,Tom Aaron,Matt Ricehouse,,,,,,,,,,,,
2,93fe7332d16c6ad9,bcb38a9d29822d3d,Tom Aaron,Eric Steenberg,,,,,,,,,,,,
3,04d5718ed2661e8c,38231925d72d1309,Jorge Gurgel,Danny Abbadi,84%,87%,10%,12%,5%,0%,75%,73%,20%,21%,3%,5%
4,c8136ab8aa32c974,387bdcc2ca8709c1,Kalib Starnes,Danny Abbadi,47%,66%,52%,33%,0%,0%,9%,33%,23%,66%,66%,0%
5,27541033b97c076d,7067ccf701531a60,Kevin Ferguson,David Abbott,92%,100%,7%,0%,0%,0%,84%,100%,0%,0%,15%,0%
6,f0abbb6f3444dae7,62de80851ebcc85a,Paul Buentello,David Abbott,55%,50%,33%,50%,11%,0%,44%,0%,44%,100%,11%,0%
7,2eae41f61776c60f,148ded708e1db0a0,Hidehiko Yoshida,David Abbott,92%,100%,7%,0%,0%,0%,42%,0%,14%,0%,42%,100%
8,4e9fb05d7e5e61b8,d1d33be012417f75,Wesley Correira,David Abbott,100%,100%,0%,0%,0%,0%,23%,36%,69%,63%,7%,0%
9,08ae5cd9aef7ddd3,ffe629a5232a878b,Kimo Leopoldo,David Abbott,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%
10,1ff9589f9065a9ed,a85a0831580696ff,Frank Mir,David Abbott,33%,100%,34%,0%,33%,0%,33%,0%,34%,0%,33%,100%
11,b44f39a5c6596953,f85bbc760000f001,Pedro Rizzo,David Abbott,50%,100%,0%,0%,50%,0%,70%,43%,16%,25%,12%,31%
12,b361180739bed4b0,1e14e79a477f2357,David Abbott,Hugo Duarte,100%,0%,0%,0%,0%,0%,0%,0%,18%,0%,81%,0%
13,b361180739bed4b0,764e492b55c0ec40,David Abbott,Yoji Anjo,100%,11%,0%,11%,0%,77%,46%,88%,0%,11%,53%,0%
14,33e33d51f289d2a1,b3cafb4e6e1b2ad0,Maurice Smith,David Abbott,58%,100%,0%,0%,41%,0%,41%,20%,8%,40%,50%,40%
15,0ee783aa00e468f0,0e16795e385e76a7,Vitor Belfort,David Abbott,86%,0%,13%,100%,0%,0%,6%,0%,46%,100%,46%,0%
16,271fe91f4ba9d2c5,d595d2c36ddba8ee,Don Frye,David Abbott,100%,100%,0%,0%,0%,0%,83%,69%,0%,30%,16%,0%
17,b361180739bed4b0,c8ff8a72f3c5a825,David Abbott,Steve Nelmark,100%,50%,0%,50%,0%,0%,11%,50%,88%,50%,0%,0%
18,b361180739bed4b0,f84070b049bc14e6,David Abbott,Cal Worsham,100%,80%,0%,20%,0%,0%,25%,20%,0%,40%,75%,40%
19,977081bc01197656,9f6a7aee1fce539a,Scott Ferrozzo,David Abbott,28%,95%,56%,4%,15%,0%,28%,71%,71%,28%,0%,0%
20,b361180739bed4b0,398ff6015a5ba3b5,David Abbott,Sam Adkins,62%,0%,37%,0%,0%,0%,0%,0%,0%,0%,100%,0%
21,c670aa48827d6be6,0d872527bbb3cd40,Dan Severn,David Abbott,63%,100%,28%,0%,8%,0%,0%,0%,8%,66%,91%,33%
22,b361180739bed4b0,6b0430e9c97afec7,David Abbott,Steve Jennum,100%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
23,1dc56b59cb28425d,66c029f49d3c5da6,Oleg Taktarov,David Abbott,100%,94%,0%,5%,0%,0%,75%,47%,25%,17%,0%,35%
24,b361180739bed4b0,43f6b0c40113d0d8,David Abbott,Paul Varelans,92%,0%,7%,100%,0%,0%,7%,0%,0%,100%,92%,0%
25,b361180739bed4b0,88945d70ee6c6467,David Abbott,John Matua,100%,0%,0%,0%,0%,0%,0%,0%,85%,0%,14%,0%
26,2f5cbecbbe18bac4,f085f32bbb3220e1,Shamil Abdurakhimov,Chris Daukaus,56%,89%,26%,5%,17%,5%,95%,47%,4%,5%,0%,47%
27,fa6796c55d6c5440,066756ea40b134a7,Curtis Blaydes,Shamil Abdurakhimov,92%,100%,4%,0%,4%,0%,8%,100%,0%,0%,92%,0%
28,c9cf753cfdf77fc2,0bc7e4852f75a06d,Marcin Tybura,Shamil Abdurakhimov,60%,66%,21%,27%,17%,5%,92%,72%,7%,27%,0%,0%
29,3738e68d2261e60f,a7e8416f0d57c8e0,Andrei Arlovski,Shamil Abdurakhimov,44%,59%,33%,28%,22%,12%,50%,37%,33%,18%,16%,43%
30,01b352b6a9074d5c,4d5c3ddc740b89ca,Chase Sherman,Shamil Abdurakhimov,80%,83%,0%,16%,20%,0%,100%,100%,0%,0%,0%,0%
31,d3df1add9d9a7efb,cb1e57b5f8c92922,Derrick Lewis,Shamil Abdurakhimov,82%,33%,12%,33%,5%,33%,20%,33%,10%,33%,69%,33%
32,2f5cbecbbe18bac4,412735f3e0b66ea6,Shamil Abdurakhimov,Walt Harris,44%,63%,12%,21%,42%,15%,82%,72%,14%,27%,2%,0%
33,c727c7d31c50c4cf,e508ba268cb295c0,Anthony Hamilton,Shamil Abdurakhimov,47%,79%,40%,9%,12%,11%,40%,46%,60%,50%,0%,3%
34,2f5cbecbbe18bac4,f9373ab59b7a853b,Shamil Abdurakhimov,Timothy Johnson,55%,63%,0%,4%,44%,31%,100%,13%,0%,36%,0%,50%
35,c0ed7b208197e8de,2de50e21c8f32761,Hiroyuki Abe,Naoki Matsushita,68%,66%,9%,18%,22%,15%,100%,84%,0%,12%,0%,3%
36,16d09e800ad7ec79,512e65ebe4fea988,Luiz Firmino,Hiroyuki Abe,100%,0%,0%,0%,0%,0%,14%,0%,0%,0%,85%,0%
37,e64b96c07d7ce999,484c48d3723e72cd,Li Jingliang,Daichi Abe,33%,53%,13%,2%,53%,44%,98%,100%,1%,0%,0%,0%
38,4c288a2b250bb576,194d3950076b2f83,Luke Jumeau,Daichi Abe,55%,68%,17%,11%,26%,20%,92%,74%,3%,12%,4%,12%
39,5140122c3eecd307,e0e4ce7595b5c26a,Daichi Abe,Hyun Gyu Lim,55%,60%,6%,9%,38%,30%,85%,100%,4%,0%,9%,0%
40,00debc804e2b1cd4,a86b801279e0ef4a,Dylan Andrews,Papy Abedi,60%,63%,20%,26%,20%,10%,65%,57%,15%,0%,20%,42%
