Fighter_ID,Fight_ID,Fight_Name,Weight_Class,Opponent,Method,Round_End,Time_End,Fight_format,Referee,Details
93fe7332d16c6ad9,9be14b958737f074,Strikeforce - Henderson vs. Babalu,Lightweight Bout,Matt Ricehouse,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),,Al Wichgers 27 - 30.Jackson Harper 28 - 29.Jerry Griffin 28 - 29.
93fe7332d16c6ad9,bcb38a9d29822d3d,Strikeforce - Heavy Artillery,Catch Weight Bout,Eric Steenberg,Submission,1,0:56,      3 Rnd (5-5-5),Al Wichgers,Guillotine Choke 
04d5718ed2661e8c,38231925d72d1309,UFC 63: Hughes vs Penn,Lightweight Bout,Danny Abbadi,Decision - Split,3,5:00,      3 Rnd (5-5-5),Herb Dean,Cecil Peoples 29 - 28.Nelson Hamilton 28 - 29.Alejandro Rochin 28 - 29.
c8136ab8aa32c974,387bdcc2ca8709c1,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Middleweight Bout,Danny Abbadi,Submission,1,2:56,      3 Rnd (5-5-5),Mario Yamasaki,Rear Naked Choke 
eb393afdbe3293d5,ce99b089400a4ad3,DWCS 6.7,Lightweight Bout,Nariman Abbasov,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Herb Dean,Chris Flores 27 - 30.Adalaide Byrd 27 - 30.Mike Bell 28 - 29.
27541033b97c076d,7067ccf701531a60,EliteXC - Street Certified,Heavyweight Bout,David Abbott,KO/TKO,1,0:43,      3 Rnd (5-5-5),Troy Waugh,Punches to Head At Distance 
f0abbb6f3444dae7,62de80851ebcc85a,Strikeforce - Tank vs. Buentello,Heavyweight Bout,David Abbott,KO/TKO,1,0:43,      3 Rnd (5-5-5),Marcos Rosales,Punch to Head At Distance 
2eae41f61776c60f,148ded708e1db0a0,PRIDE Final Conflict 2005,Heavyweight Bout,David Abbott,Submission,1,7:40,      3 Rnd (10-5-5),Yuji Shimada,Gi Choke From Back Control 
4e9fb05d7e5e61b8,d1d33be012417f75,UFC 45: Revolution,Heavyweight Bout,David Abbott,TKO - Doctor's Stoppage,1,2:14,      3 Rnd (5-5-5),John McCarthy,Facial Cut
08ae5cd9aef7ddd3,ffe629a5232a878b,UFC 43: Meltdown,Heavyweight Bout,David Abbott,Submission,1,1:59,      3 Rnd (5-5-5),Larry Landless,Arm Triangle From Mount 
1ff9589f9065a9ed,a85a0831580696ff,UFC 41: Onslaught,Heavyweight Bout,David Abbott,Submission,1,0:46,      3 Rnd (5-5-5),Larry Landless,Toe Hold From Bottom 
b44f39a5c6596953,f85bbc760000f001,UFC - Ultimate Brazil,Heavyweight Bout,David Abbott,KO/TKO,1,8:07,      1 Rnd + OT (12-3),John McCarthy,Punch to Head At Distance 
b361180739bed4b0,1e14e79a477f2357,UFC 17: Redemption,Heavyweight Bout,Hugo Duarte,KO/TKO,1,0:43,      1 Rnd + OT (12-3),John McCarthy,Punches to Head On Ground 
b361180739bed4b0,764e492b55c0ec40,UFC - Ultimate Japan,Heavyweight Bout,Yoji Anjo,Decision - Unanimous,2,3:00,      1 Rnd + OT (12-3),John McCarthy,
