Index,ID,Fighter Name,Open,Close_range_lower,Close_range_upper,Event_name,Event_Date,Opponent_Name,Opponent_Open,Opponent_close_range_lower,Opponent_close_range_upper
0,Jon-Jones-819,Jon Jones,180,180,180,Future Events,N/A,Francis Ngannou,-220,-220,-220
0,Jon-Jones-819,Jon Jones,-150,-105,-105,Future Events,N/A,Israel Adesanya,130,-115,-115
0,Jon-Jones-819,Jon Jones,-850,-670,-525,UFC 239: Jones vs. Santos,Jul 6th 2019,Thiago Santos,625,400,485
0,Jon-Jones-819,Jon Jones,-900,-800,-714,UFC 235: Jones vs. Smith,Mar 2nd 2019,Anthony Smith,600,450,550
0,Jon-Jones-819,Jon Jones,-200,-333,-290,UFC 232: Jones vs. Gustafsson 2,Dec 29th 2018,Alexander Gustafsson,170,245,250
0,Jon-Jones-819,Jon Jones,-675,-750,-720,UFC 197: Jones vs. Saint Preux,Apr 23rd 2016,Ovince St. Preux,450,510,550
0,Jon-Jones-819,Jon Jones,-170,-205,-192,UFC 182: Jones vs. Cormier,Jan 3rd 2015,Daniel Cormier,145,175,177
0,Jon-Jones-819,Jon Jones,-600,-500,-440,UFC 172: Jones vs. Teixeira,Apr 26th 2014,Glover Teixeira,425,385,390
0,Jon-Jones-819,Jon Jones,-400,-500,-440,UFC 247: Jones vs. Reyes,Feb 8th 2020,Dominick Reyes,300,350,375
0,Jon-Jones-819,Jon Jones,-250,-325,-310,UFC 214: Cormier vs. Jones 2,Jul 29th 2017,Daniel Cormier,210,260,265
0,Jon-Jones-819,Jon Jones,-675,-840,-800,UFC 165: Jones vs. Gustafsson,Sep 21st 2013,Alexander Gustafsson,425,550,660
0,Jon-Jones-819,Jon Jones,-750,-875,-825,UFC 159: Jones vs. Sonnen,Apr 27th 2013,Chael Sonnen,575,625,685
0,Jon-Jones-819,Jon Jones,-1300,-840,-750,UFC 152: Jones vs. Belfort,Sep 22nd 2012,Vitor Belfort,700,575,660
0,Jon-Jones-819,Jon Jones,-500,-510,-510,UFC 145: Jones vs. Evans,Apr 21st 2012,Rashad Evans,400,440,440
0,Jon-Jones-819,Jon Jones,-400,-475,-475,UFC 140: Jones vs. Machida,Dec 10th 2011,Lyoto Machida,280,420,420
0,Jon-Jones-819,Jon Jones,-340,-500,-500,UFC 135: Jones vs. Rampage,Sep 24th 2011,Quinton Jackson,280,435,435
0,Jon-Jones-819,Jon Jones,-225,-215,-215,UFC 128: Shogun vs. Jones,Mar 19th 2011,Mauricio Rua,175,195,195
0,Jon-Jones-819,Jon Jones,-230,-285,-285,UFC 126: Silva vs. Belfort,Feb 5th 2011,Ryan Bader,170,258,258
0,Jon-Jones-819,Jon Jones,-610,-752,-752,UFC On Versus 2,Aug 1st 2010,Vladimir Matyushenko,425,602,602
0,Jon-Jones-819,Jon Jones,-260,-235,-235,UFC on Versus 1: Vera vs. Jones,Mar 21st 2010,Brandon Vera,200,215,215
0,Jon-Jones-819,Jon Jones,-185,-265,-265,UFC: The Ultimate Fighter 10 Finale,Dec 5th 2009,Matt Hamill,155,225,225
0,Jon-Jones-819,Jon Jones,-465,-400,-400,UFC 100,Jul 11th 2009,Jake O Brien,345,325,325
0,Jon-Jones-819,Jon Jones,140,135,135,UFC 94: St-Pierre vs Penn 2,Jan 31st 2009,Stephan Bonnar,-170,-155,-155
0,Jon-Jones-819,Jon Jones,190,170,170,UFC 87: Seek And Destroy,Aug 9th 2008,Andre Gusmao,-250,-200,-200
1,Francis-Ngannou-5847,Francis Ngannou,-220,-220,-220,Future Events,N/A,Jon Jones,180,180,180
1,Francis-Ngannou-5847,Francis Ngannou,-190,114,135,UFC 270,Jan 22nd 2022,Ciryl Gane,165,-160,-133
1,Francis-Ngannou-5847,Francis Ngannou,-300,-255,-225,UFC 249: Ferguson vs. Gaethje,May 9th 2020,Jairzinho Rozenstruik,250,190,215
1,Francis-Ngannou-5847,Francis Ngannou,-230,-227,-205,UFC on ESPN 3: Ngannou vs. Dos Santos,Jun 29th 2019,Junior Dos Santos,170,175,187
1,Francis-Ngannou-5847,Francis Ngannou,130,170,175,UFC on ESPN 1: Ngannou vs. Velasquez,Feb 17th 2019,Cain Velasquez,-170,-210,-195
1,Francis-Ngannou-5847,Francis Ngannou,-155,200,205,UFC Fight Night 141: Blaydes vs. Ngannou 2,Nov 24th 2018,Curtis Blaydes,115,-250,-240
1,Francis-Ngannou-5847,Francis Ngannou,-230,-340,-310,UFC 226: Miocic vs. Cormier,Jul 7th 2018,Derrick Lewis,170,255,280
1,Francis-Ngannou-5847,Francis Ngannou,-160,-176,-170,UFC 220: Miocic vs. Ngannou,Jan 20th 2018,Stipe Miocic,130,150,151
1,Francis-Ngannou-5847,Francis Ngannou,-230,-230,-220,UFC 218: Holloway vs. Aldo 2,Dec 2nd 2017,Alistair Overeem,170,185,210
1,Francis-Ngannou-5847,Francis Ngannou,-350,-420,-385,UFC on FOX 23: Shevchenko vs. Pena,Jan 28th 2017,Andrei Arlovski,250,320,335
1,Francis-Ngannou-5847,Francis Ngannou,-600,-440,-410,UFC Fight Night 102: Lewis vs. Abdurakhimov,Dec 9th 2016,Anthony Hamilton,400,340,350
1,Francis-Ngannou-5847,Francis Ngannou,-705,-600,-580,UFC on FOX 20: Holm vs. Shevchenko,Jul 23rd 2016,Bojan Mihajlovic,435,450,450
1,Francis-Ngannou-5847,Francis Ngannou,100,132,140,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016,Curtis Blaydes,-140,-160,-152
1,Francis-Ngannou-5847,Francis Ngannou,110,-140,-140,UFC on FOX 17: Dos Anjos vs. Cerrone,Dec 19th 2015,Luiz Henrique,-150,120,120
1,Francis-Ngannou-5847,Francis Ngannou,-225,-144,-133,UFC 260: Miocic vs. Ngannou 2,Mar 27th 2021,Stipe Miocic,190,110,122
2,Daniel-Cormier-1583,Daniel Cormier,-110,-117,-110,UFC 252: Miocic vs. Cormier 3,Aug 15th 2020,Stipe Miocic,-110,-111,-103
2,Daniel-Cormier-1583,Daniel Cormier,-150,-146,-139,UFC 241: Cormier vs. Miocic 2,Aug 17th 2019,Stipe Miocic,130,110,126
2,Daniel-Cormier-1583,Daniel Cormier,-800,-460,-380,UFC 230: Cormier vs. Lewis,Nov 3rd 2018,Derrick Lewis,575,315,360
2,Daniel-Cormier-1583,Daniel Cormier,140,132,140,UFC 226: Miocic vs. Cormier,Jul 7th 2018,Stipe Miocic,-170,-160,-152
2,Daniel-Cormier-1583,Daniel Cormier,-380,-345,-340,UFC 220: Miocic vs. Ngannou,Jan 20th 2018,Volkan Oezdemir,260,280,285
2,Daniel-Cormier-1583,Daniel Cormier,-600,-430,-415,UFC 200: Tate vs. Nunes,Jul 9th 2016,Anderson Silva,400,345,345
2,Daniel-Cormier-1583,Daniel Cormier,-200,-284,-255,UFC 192: Cormier vs. Gustafsson,Oct 3rd 2015,Alexander Gustafsson,170,215,244
2,Daniel-Cormier-1583,Daniel Cormier,-130,100,106,UFC 187: Johnson vs. Cormier,May 23rd 2015,Anthony Johnson,110,-126,-120
2,Daniel-Cormier-1583,Daniel Cormier,145,175,177,UFC 182: Jones vs. Cormier,Jan 3rd 2015,Jon Jones,-170,-205,-192
2,Daniel-Cormier-1583,Daniel Cormier,-425,-900,-750,UFC 173: Barao vs. Dillashaw,May 24th 2014,Dan Henderson,305,525,600
2,Daniel-Cormier-1583,Daniel Cormier,-1125,-900,-750,UFC 170: Rousey vs. McMann,Feb 22nd 2014,Patrick Cummins,575,600,600
2,Daniel-Cormier-1583,Daniel Cormier,210,260,265,UFC 214: Cormier vs. Jones 2,Jul 29th 2017,Jon Jones,-250,-325,-310
2,Daniel-Cormier-1583,Daniel Cormier,-120,118,120,UFC 210: Cormier vs. Johnson 2,Apr 8th 2017,Anthony Johnson,-110,-140,-138
2,Daniel-Cormier-1583,Daniel Cormier,-380,-500,-500,UFC 166: Velasquez vs. Dos Santos III,Oct 19th 2013,Roy Nelson,260,375,435
2,Daniel-Cormier-1583,Daniel Cormier,-350,-375,-375,UFC on FOX 7: Henderson vs. Melendez,Apr 20th 2013,Frank Mir,250,315,335
2,Daniel-Cormier-1583,Daniel Cormier,-750,-2000,-1700,Strikeforce: Marquardt vs. Saffiedine,Jan 12th 2013,Dion Staring,450,1250,1500
2,Daniel-Cormier-1583,Daniel Cormier,105,-125,-120,Strikeforce: Barnett vs. Cormier,May 19th 2012,Josh Barnett,-145,100,115
2,Daniel-Cormier-1583,Daniel Cormier,135,125,125,Strikeforce Grand Prix: Barnett vs. Kharitonov,Sep 10th 2011,Antonio Silva,-165,-145,-145
2,Daniel-Cormier-1583,Daniel Cormier,-360,-475,-475,Strikeforce: Overeem vs. Werdum,Jun 18th 2011,Jeff Monson,270,420,420
2,Daniel-Cormier-1583,Daniel Cormier,-800,-800,-800,Strikeforce Challengers 13,Jan 7th 2011,Devin Cole,500,550,550
2,Daniel-Cormier-1583,Daniel Cormier,-1350,-1300,-1300,Strikeforce: Houston,Aug 21st 2010,Jason Riley,650,850,850
2,Daniel-Cormier-1583,Daniel Cormier,-310,-335,-335,King Of The Cage: Imminent Danger,Aug 13th 2010,Tony Johnson,230,275,275
