Fight_ID,Fighter_ID_0,Knockdowns_0_cumulative,Significant_Strikes_0_cumulative,Total_Strikes_0_cumulative,Head_0_cumulative,Body_0_cumulative,Legs_0_cumulative,Distance_0_cumulative,Clinch_0_cumulative,Ground_0_cumulative,Takedowns_0_cumulative,Submission_Attempt_0_cumulative,Rev_0_cumulative,Control_Time_0_Seconds_cumulative,Fighter_ID_1,Knockdowns_1_cumulative,Significant_Strikes_1_cumulative,Total_Strikes_1_cumulative,Head_1_cumulative,Body_1_cumulative,Legs_1_cumulative,Distance_1_cumulative,Clinch_1_cumulative,Ground_1_cumulative,Takedowns_1_cumulative,Submission_Attempt_1_cumulative,Rev_1_cumulative,Control_Time_1_Seconds_cumulative,HT_cm_0,WT_numeric_0,Reach_cm_0,STANCE_Sideways_0,STANCE_Southpaw_0,STANCE_Orthodox_0,STANCE_Switch_0,HT_cm_1,WT_numeric_1,Reach_cm_1,STANCE_Sideways_1,STANCE_Southpaw_1,STANCE_Orthodox_1,STANCE_Switch_1,Result_win_cumulative_0,Result_loss_cumulative_0,Result_nc_cumulative_0,Result_draw_cumulative_0,METHOD_CNC_cumulative_0,METHOD_DQ_cumulative_0,METHOD_Decision_cumulative_0,METHOD_KO/TKO_cumulative_0,METHOD_M-DEC_cumulative_0,METHOD_Other_cumulative_0,METHOD_Overturned_cumulative_0,METHOD_S-DEC_cumulative_0,METHOD_SUB_cumulative_0,METHOD_U-DEC_cumulative_0,Result_win_cumulative_1,Result_loss_cumulative_1,Result_nc_cumulative_1,Result_draw_cumulative_1,METHOD_CNC_cumulative_1,METHOD_DQ_cumulative_1,METHOD_Decision_cumulative_1,METHOD_KO/TKO_cumulative_1,METHOD_M-DEC_cumulative_1,METHOD_Other_cumulative_1,METHOD_Overturned_cumulative_1,METHOD_S-DEC_cumulative_1,METHOD_SUB_cumulative_1,METHOD_U-DEC_cumulative_1,Fighter_0_Outcome
9be14b958737f074,343d57cde1a14338,0,0,0,0,0,0,0,0,0,0,0,0,0,93fe7332d16c6ad9,0,0,0,0,0,0,0,0,0,0,0,0,0,,155.0,,0.0,0.0,0.0,0.0,,155.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
bcb38a9d29822d3d,377bc9dc0b2745f9,0,0,0,0,0,0,0,0,0,0,0,0,0,93fe7332d16c6ad9,0,0,0,0,0,0,0,0,0,0,0,0,0,,155.0,,0.0,0.0,0.0,0.0,,155.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
38231925d72d1309,04d5718ed2661e8c,0,0,0,0,0,0,0,0,0,0,0,0,0,15df64c02b6b0fde,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,155.0,175.0,0.0,0.0,1.0,0.0,180.0,155.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
387bdcc2ca8709c1,15df64c02b6b0fde,0,0,0,0,0,0,0,0,0,0,0,0,0,c8136ab8aa32c974,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,155.0,,0.0,0.0,1.0,0.0,190.0,185.0,188.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
ce99b089400a4ad3,59a9d6dac61c2540,0,0,0,0,0,0,0,0,0,0,0,0,0,eb393afdbe3293d5,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,155.0,168.0,0.0,0.0,1.0,0.0,173.0,155.0,180.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
7067ccf701531a60,27541033b97c076d,1,4,4,4,0,0,1,1,2,0,0,0,0,b361180739bed4b0,0,17,76,6,4,7,10,5,2,1,1,0,0,188.0,235.0,196.0,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,8.0,3.0,1
62de80851ebcc85a,b361180739bed4b0,3,67,203,63,4,0,10,16,41,7,3,1,0,f0abbb6f3444dae7,0,53,143,28,16,9,14,36,3,0,0,0,268,183.0,265.0,,0.0,0.0,0.0,1.0,188.0,245.0,196.0,0.0,0.0,1.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0
148ded708e1db0a0,2eae41f61776c60f,0,9,20,6,1,2,7,2,0,2,7,0,0,b361180739bed4b0,0,17,76,6,4,7,10,5,2,1,1,0,0,180.0,225.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,3.0,1
d1d33be012417f75,4e9fb05d7e5e61b8,0,22,95,21,1,0,3,19,0,0,0,0,13,b361180739bed4b0,0,17,76,6,4,7,10,5,2,1,1,0,0,190.0,260.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,3.0,1
ffe629a5232a878b,08ae5cd9aef7ddd3,0,62,180,35,2,25,53,0,9,0,0,1,0,b361180739bed4b0,0,17,76,6,4,7,10,5,2,1,1,0,0,190.0,235.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,3.0,1
a85a0831580696ff,1ff9589f9065a9ed,0,7,17,2,1,4,7,0,0,0,2,0,39,b361180739bed4b0,0,17,76,6,4,7,10,5,2,1,1,0,0,190.0,264.0,201.0,0.0,1.0,0.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,3.0,1
f85bbc760000f001,b361180739bed4b0,0,0,0,0,0,0,0,0,0,0,0,0,0,b44f39a5c6596953,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,265.0,,0.0,0.0,0.0,1.0,185.0,241.0,,0.0,0.0,1.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1e14e79a477f2357,706404da0775dcbc,0,0,0,0,0,0,0,0,0,0,0,0,0,b361180739bed4b0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,240.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,3.0,0
764e492b55c0ec40,b361180739bed4b0,0,0,0,0,0,0,0,0,0,0,0,0,0,e06fd1260ac865a7,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,265.0,,0.0,0.0,0.0,1.0,180.0,205.0,,0.0,0.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
b3cafb4e6e1b2ad0,33e33d51f289d2a1,0,55,139,34,1,20,36,0,19,0,0,1,0,b361180739bed4b0,0,8,45,5,3,0,2,4,2,0,0,0,0,188.0,221.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,1
0e16795e385e76a7,0ee783aa00e468f0,2,26,47,26,0,0,4,5,17,0,0,0,0,b361180739bed4b0,0,8,45,5,3,0,2,4,2,0,0,0,0,183.0,185.0,188.0,0.0,1.0,0.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,1
d595d2c36ddba8ee,271fe91f4ba9d2c5,1,104,402,56,45,3,6,23,75,4,0,1,0,b361180739bed4b0,0,1,21,0,1,0,0,1,0,0,0,0,0,185.0,219.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,1
c8ff8a72f3c5a825,13e62d766b709aa6,0,13,43,12,1,0,1,1,11,2,1,0,0,b361180739bed4b0,0,1,21,0,1,0,0,1,0,0,0,0,0,183.0,240.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0
f84070b049bc14e6,b361180739bed4b0,2,30,59,26,4,0,2,6,22,3,2,0,0,de3ed2e152520c8d,0,1,2,0,1,0,1,0,0,0,0,0,0,183.0,265.0,,0.0,0.0,0.0,1.0,180.0,230.0,,0.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9f6a7aee1fce539a,977081bc01197656,0,0,0,0,0,0,0,0,0,0,0,0,0,b361180739bed4b0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,323.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1
398ff6015a5ba3b5,0e9869d712e81f8f,0,0,0,0,0,0,0,0,0,0,0,0,0,b361180739bed4b0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0,225.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0
0d872527bbb3cd40,b361180739bed4b0,2,21,37,20,1,0,1,6,14,1,0,0,0,c670aa48827d6be6,0,12,29,6,4,2,4,5,3,0,0,0,0,183.0,265.0,,0.0,0.0,0.0,1.0,188.0,250.0,,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0
6b0430e9c97afec7,ad047e3073a775f3,0,19,83,19,0,0,1,0,18,3,1,0,0,b361180739bed4b0,0,1,14,0,1,0,0,1,0,0,0,0,0,178.0,215.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0
66c029f49d3c5da6,1dc56b59cb28425d,0,0,0,0,0,0,0,0,0,0,0,0,0,b361180739bed4b0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,210.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
43f6b0c40113d0d8,07a18ae55dfc3cd9,0,0,0,0,0,0,0,0,0,0,0,0,0,b361180739bed4b0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.0,300.0,,0.0,0.0,1.0,0.0,183.0,265.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
88945d70ee6c6467,b361180739bed4b0,0,0,0,0,0,0,0,0,0,0,0,0,0,c933d423ebdbbbdb,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,265.0,,0.0,0.0,0.0,1.0,188.0,400.0,,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5a2b86570110191b,1a9480fc288e55d7,0,0,0,0,0,0,0,0,0,0,0,0,0,3329d692aea4dc28,0,0,0,0,0,0,0,0,0,0,0,0,0,198.0,260.0,206.0,0.0,0.0,1.0,0.0,188.0,264.0,183.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
fffdc57255274be1,2f5cbecbbe18bac4,0,96,259,43,16,37,87,8,1,1,0,0,75,41e83a89929d1327,0,8,44,6,1,1,5,0,3,1,0,1,134,190.0,235.0,193.0,0.0,0.0,1.0,0.0,190.0,205.0,201.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0
ae989e21c3839b49,2f5cbecbbe18bac4,0,79,225,39,12,28,70,8,1,1,0,0,75,f14cf73e51b29254,0,5,15,4,0,1,4,1,0,0,0,0,0,190.0,235.0,193.0,0.0,0.0,1.0,0.0,190.0,257.0,213.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
f085f32bbb3220e1,2f5cbecbbe18bac4,0,56,162,26,6,24,48,7,1,1,0,0,75,d0aaedcf7ccd0b45,0,18,57,12,1,5,15,3,0,0,0,0,0,190.0,235.0,193.0,0.0,0.0,1.0,0.0,190.0,205.0,193.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
066756ea40b134a7,2f5cbecbbe18bac4,0,56,162,26,6,24,48,7,1,1,0,0,75,fa6796c55d6c5440,1,15,33,13,1,1,5,5,5,0,0,0,8,190.0,235.0,193.0,0.0,0.0,1.0,0.0,193.0,265.0,203.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0
0bc7e4852f75a06d,2f5cbecbbe18bac4,0,56,162,26,6,24,48,7,1,1,0,0,75,c9cf753cfdf77fc2,0,45,159,27,8,10,28,16,1,3,1,0,508,190.0,235.0,193.0,0.0,0.0,1.0,0.0,190.0,249.0,198.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1
